name,red,green,blue,alpha,id,color
player,55,57,150,255,108,darkslateblue 1
pot,5,232,137,255,109,mediumspringgreen 1
printer,138,130,156,255,110,lightslategray
rack,187,34,95,255,111,mediumvioletred 4
radiator,246,229,48,255,112,gold 1
recycle bin,119,160,18,255,113,olivedrab 2
refrigerator,211,31,137,255,114,mediumvioletred 5
rocking chair,0,1,83,255,115,navy
scale,251,17,125,255,116,deeppink 1
screen,150,72,101,255,117,dimgray 3
shelf,10,152,231,255,118,dodgerblue 1
shoe,161,29,27,255,119,firebrick 1
shoe rack,252,70,161,255,120,hotpink
shoes,165,221,194,255,121,lightblue
showcase,220,96,9,255,122,chocolate
shower,194,154,207,255,123,plum
shower curtain,159,62,50,255,124,sienna
shower floor,37,1,200,255,125,mediumblue
shower wall,197,187,34,255,126,goldenrod 2
side table,238,12,23,255,127,red
sink,26,37,8,255,128,black 2
soap dish,27,64,124,255,129,midnightblue
socket,217,235,113,255,130,khaki 2
sofa,182,121,68,255,131,peru
sofa chair,24,146,51,255,132,forestgreen 1
stair,126,36,78,255,133,brown 1
stand,0,130,79,255,134,seagreen
stool,37,155,30,255,135,forestgreen 2
stove,15,71,118,255,136,midnightblue 1
stuffed animal,216,157,141,255,137,tan 1
suitcase,178,166,76,255,138,darkkhaki
table,71,38,201,255,139,slateblue
table lamp,105,221,108,255,140,lightgreen 1
telephone,100,232,188,255,141,mediumaquamarine
toaster,229,169,169,255,142,tan 2
toilet,110,226,128,255,143,lightgreen 2
toilet brush,109,244,124,255,144,lightgreen 3
toilet paper,85,225,16,255,145,lawngreen 1
toilet paper dispenser,69,11,158,255,146,indigo
towel,177,122,126,255,147,rosybrown
trash can,187,156,52,255,148,peru 1
trashcan,151,89,138,255,149,gray 1
tube,79,153,106,255,150,mediumseagreen 1
tv,133,117,148,255,151,gray 2
tv stand,89,180,217,255,152,mediumturquoise
vase,228,158,122,255,153,darksalmon 2
wall,87,217,136,255,154,mediumaquamarine 1
wardrobe,28,49,169,255,155,darkslateblue 2
washing machine,251,97,227,255,156,violet 1
washing powder,45,53,128,255,157,darkslateblue 3
window,141,33,212,255,158,blueviolet 1
windowsill,193,34,215,255,159,darkorchid 2
